empresa_locacao, modelo_carro, quilometragem, ano, preco
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,32.798,2018,R$ 35.430
Movida,FIAT MOBI 1.0 EVO FLEX LIKE. MANUAL,35.905,2017,R$ 31.130
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,34.398,2018,R$ 35.430
Movida,FIAT MOBI 1.0 EVO FLEX LIKE. MANUAL,33.092,2017,R$ 31.690
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,21.142,2018,R$ 36.160
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,32.656,2018,R$ 35.430
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,33.108,2018,R$ 35.430
Movida,FIAT MOBI 1.0 EVO FLEX LIKE. MANUAL,36.571,2017,R$ 31.130
Movida,FIAT MOBI 1.0 EVO FLEX LIKE. MANUAL,36.208,2018,R$ 32.130
Movida,HYUNDAI HB20 1.0 COMFORT PLUS 12V FLEX 4P MANUAL,43.264,2018,R$ 40.330
Movida,HYUNDAI HB20 1.6 COMFORT PLUS 16V FLEX 4P MANUAL,24.971,2018,R$ 47.390
Movida,HYUNDAI HB20 1.6 COMFORT PLUS 16V FLEX 4P MANUAL,34.221,2018,R$ 46.430
Movida,HYUNDAI HB20 1.6 COMFORT PLUS 16V FLEX 4P MANUAL,29.225,2017,R$ 44.630
Movida,HYUNDAI HB20 1.6 COMFORT PLUS 16V FLEX 4P MANUAL,28.15,2017,R$ 44.630
Movida,HYUNDAI HB20S 1.0 COMFORT PLUS 12V FLEX 4P MANUAL,29.314,2018,R$ 45.230
Movida,HYUNDAI HB20S 1.0 COMFORT PLUS 12V FLEX 4P MANUAL,25.606,2018,R$ 45.230
Movida,HYUNDAI HB20S 1.0 COMFORT PLUS 12V FLEX 4P MANUAL,32.436,2018,R$ 45.230
Movida,HYUNDAI HB20S 1.0 COMFORT PLUS 12V FLEX 4P MANUAL,34.418,2018,R$ 45.230
Movida,HYUNDAI HB20S 1.0 COMFORT PLUS 12V FLEX 4P MANUAL,32.723,2018,R$ 45.230
Movida,HYUNDAI HB20S 1.6 COMFORT PLUS 16V FLEX 4P MANUAL,35.072,2017,R$ 47.890
Movida,HYUNDAI HB20S 1.6 COMFORT PLUS 16V FLEX 4P AUTOMATICO,19.35,2017,R$ 54.760
Movida,FIAT MOBI 1.0 EVO FLEX LIKE. MANUAL,29.182,2017,R$ 31.690
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,31.448,2018,R$ 35.430
Movida,HYUNDAI HB20S 1.6 COMFORT PLUS 16V FLEX 4P AUTOMATICO,31.44,2018,R$ 55.660
Movida,HYUNDAI HB20S 1.6 COMFORT PLUS 16V FLEX 4P AUTOMATICO,31.44,2018,R$ 55.660
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,43.35,2018,R$ 32.340
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,41.922,2018,R$ 32.480
Movida,FIAT UNO 1.0 FIREFLY FLEX ATTRACTIVE 4P MANUAL,52.287,2017,R$ 30.930
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,38.614,2018,R$ 33.900
Movida,FIAT UNO 1.0 FIREFLY FLEX ATTRACTIVE 4P MANUAL,31.844,2017,R$ 31.890
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,44.905,2018,R$ 33.900
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,34.797,2018,R$ 33.900
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,38.894,2018,R$ 33.900
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,42.03,2018,R$ 33.900
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,45.81,2018,R$ 33.900
Movida,FIAT UNO 1.0 FIREFLY FLEX ATTRACTIVE 4P MANUAL,66.479,2017,R$ 30.590
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,30.241,2018,R$ 33.900
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,39.741,2018,R$ 33.900
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,39.464,2018,R$ 32.710
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,36.556,2018,R$ 33.900
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,37.18,2018,R$ 33.900
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,39.142,2018,R$ 33.900
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,33.037,2018,R$ 33.900
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,49.328,2018,R$ 33.900
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,42.558,2018,R$ 33.900
Movida,FIAT UNO 1.0 FIREFLY FLEX ATTRACTIVE 4P MANUAL,71.733,2017,R$ 30.590
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,40.01,2018,R$ 33.900
Movida,FIAT UNO 1.0 FIREFLY FLEX ATTRACTIVE 4P MANUAL,55.918,2017,R$ 30.930
Movida,FIAT UNO 1.0 FIREFLY FLEX ATTRACTIVE 4P MANUAL,31.844,2017,R$ 31.890
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,36.556,2018,R$ 33.900
Movida,FIAT UNO 1.0 FIREFLY FLEX ATTRACTIVE 4P MANUAL,71.733,2017,R$ 30.590
Movida,FIAT UNO 1.0 FIREFLY FLEX ATTRACTIVE 4P MANUAL,52.287,2017,R$ 30.930
Movida,FIAT UNO 1.0 FIREFLY FLEX ATTRACTIVE 4P MANUAL,66.479,2017,R$ 30.590
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,39.038,2018,R$ 34.690
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,34.559,2018,R$ 35.430
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,39.252,2018,R$ 34.690
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,30.865,2018,R$ 35.430
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,37.395,2018,R$ 34.690
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,35.483,2018,R$ 34.690
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,44.09,2018,R$ 34.690
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,38.002,2018,R$ 34.690
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,36.445,2018,R$ 34.690
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,41.466,2018,R$ 34.690
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,37.385,2018,R$ 34.690
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,29.887,2018,R$ 35.430
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,36.601,2018,R$ 34.690
Movida,FIAT MOBI 1.0 EVO FLEX LIKE. MANUAL,34.415,2017,R$ 31.690
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,35.011,2018,R$ 34.690
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,39.537,2018,R$ 35.390
Movida,RENAULT SANDERO 1.6 16V SCE FLEX EXPRESSION MANUAL,55.839,2018,R$ 40.130
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,39.429,2018,R$ 35.390
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,41.086,2018,R$ 35.390
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,46.88,2017,R$ 33.660
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,44.562,2018,R$ 35.390
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,39.537,2018,R$ 35.390
Movida,RENAULT SANDERO 1.6 16V SCE FLEX EXPRESSION MANUAL,55.839,2018,R$ 40.130
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,45.397,2018,R$ 35.130
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,41.086,2018,R$ 35.390
Movida,RENAULT SANDERO 1.6 16V SCE FLEX EXPRESSION MANUAL,28.829,2017,R$ 40.560
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,39.429,2018,R$ 35.390
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,42.239,2018,R$ 35.390
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,45.166,2018,R$ 35.130
