empresa_locacao, modelo_carro, quilometragem, ano, preco
Unidas,FIAT Palio 1.0 MPI FIRE ECONOMY 8V FLEX 4P MANUAL 2016 VLLO,22.255,2016,R$ 23.990
Unidas,FIAT Palio 1.0 MPI FIRE ECONOMY 8V FLEX 4P MANUAL 2016 VLIT,23.902,2016,R$ 23.990
Unidas,FORD Fiesta 1.0 ROCAM SE 8V FLEX 4P MANUAL 2014 VLJO,78.387,2014,R$ 25.490
Unidas,FIAT Palio 1.0 MPI ATTRACTIVE 8V FLEX 4P MANUAL 2016/2016,71.759,2016,R$ 25.890
Unidas,FIAT Palio 1.0 MPI FIRE ECONOMY 8V FLEX 4P MANUAL 2016 VLJO,83.145,2016,R$ 25.890
Unidas,VOLKSWAGEN Gol 1.0 MI CITY 8V FLEX 4P MANUAL 2015 VFLO,58.712,2015,R$ 27.390
Unidas,VOLKSWAGEN Gol 1.0 MI CITY 8V FLEX 4P MANUAL 2015 VLOS,63.108,2015,R$ 27.390
Unidas,VOLKSWAGEN Gol 1.0 MI CITY 8V FLEX 4P MANUAL 2015 VLOS,72.200,2015,R$ 27.390
Unidas,VOLKSWAGEN Gol 1.0 12V MPI TOTALFLEX CITY 4P MANUAL 2015 VLMA,36.068,2015,R$ 27.490
Unidas,VOLKSWAGEN Gol 1.0 MI CITY 8V FLEX 4P MANUAL 2015 VSOD,106.649,2015,R$ 28.990
Unidas,RENAULT Sandero 1.0 AUTHENTIQUE PLUS 16V FLEX 4P MANUAL 2016 VLLO,70.300,2016,R$ 29.390
Unidas,RENAULT Sandero 1.0 AUTHENTIQUE PLUS 16V FLEX 4P MANUAL 2016 VLSM,89.994,2016,R$ 29.390
Unidas,RENAULT Sandero 1.0 AUTHENTIQUE PLUS 16V FLEX 4P MANUAL 2016 VLMA,88.917,2016,R$ 29.390
Unidas,RENAULT Sandero 1.0 AUTHENTIQUE PLUS 16V FLEX 4P MANUAL 2016 VLRA,62.422,2016,R$ 29.390
Unidas,RENAULT Sandero 1.0 AUTHENTIQUE PLUS 16V FLEX 4P MANUAL 2016 VLEX,68.129,2016,R$ 29.390
Unidas,RENAULT Sandero 1.0 AUTHENTIQUE PLUS 16V FLEX 4P MANUAL 2016 VLEX,77.071,2016,R$ 29.390
Unidas,RENAULT Sandero 1.0 AUTHENTIQUE PLUS 16V FLEX 4P MANUAL 2016 VLCV,56.112,2016,R$ 29.390
Unidas,RENAULT Sandero 1.0 AUTHENTIQUE PLUS 16V FLEX 4P MANUAL 2016 VLGU,59.790,2016,R$ 29.390
Unidas,RENAULT Sandero 1.0 AUTHENTIQUE PLUS 16V FLEX 4P MANUAL 2016 VLMA,60.387,2016,R$ 29.390
Unidas,RENAULT Sandero 1.0 AUTHENTIQUE PLUS 16V FLEX 4P MANUAL 2016 VLCV,69.659,2016,R$ 29.390
Unidas,RENAULT Sandero 1.0 AUTHENTIQUE PLUS 16V FLEX 4P MANUAL 2016 VLCV,71.172,2016,R$ 29.390
Unidas,RENAULT Sandero 1.0 AUTHENTIQUE PLUS 16V FLEX 4P MANUAL 2016 VLLO,70.663,2016,R$ 29.390
Unidas,RENAULT Sandero 1.0 AUTHENTIQUE PLUS 16V FLEX 4P MANUAL 2016 VLGU,74.964,2016,R$ 29.390
Unidas,RENAULT Sandero 1.0 AUTHENTIQUE PLUS 16V FLEX 4P MANUAL 2016 VLLO,73.423,2016,R$ 29.390
Unidas,RENAULT Sandero 1.0 AUTHENTIQUE PLUS 16V FLEX 4P MANUAL 2016 VLGU,76.463,2016,R$ 29.390
Unidas,RENAULT Sandero 1.0 AUTHENTIQUE PLUS 16V FLEX 4P MANUAL 2016 VLIT,82.190,2016,R$ 29.390
Unidas,RENAULT Sandero 1.0 AUTHENTIQUE PLUS 16V FLEX 4P MANUAL 2016 VLEX,72.662,2016,R$ 29.390
Unidas,RENAULT Sandero 1.0 AUTHENTIQUE PLUS 16V FLEX 4P MANUAL 2016 VLPO,76.679,2016,R$ 29.390
Unidas,RENAULT Sandero 1.0 AUTHENTIQUE PLUS 16V FLEX 4P MANUAL 2016 VLMA,73.670,2016,R$ 29.390
Unidas,RENAULT Sandero 1.0 AUTHENTIQUE PLUS 16V FLEX 4P MANUAL 2016 VLCV,67.685,2016,R$ 29.390
Unidas,RENAULT Sandero 1.0 AUTHENTIQUE PLUS 16V FLEX 4P MANUAL 2016 VLGU,73.916,2016,R$ 29.390
Unidas,RENAULT Sandero 1.0 AUTHENTIQUE PLUS 16V FLEX 4P MANUAL 2016 VLMA,76.657,2016,R$ 29.390
